ID_Petugas,Nama_Petugas,Password,Nomor_Telp,Jabatan
PTG00001,Vicky Maulana,)R0(I)ekV@,081 177 5891,Petugas Loket
PTG00002,Olivia Prasetya,t)AZ#0oz*X,+62 (12) 499 8569,Supervisor
PTG00003,T. Jaeman Mayasari,d)ai6Dz4DL,+62 (271) 111-6152,Kasir
PTG00004,Dt. Langgeng Purwanti,I(5Vt$9d*P,+62 (851) 493-6899,Supervisor
PTG00005,"Margana Puspita, S.Ked",84uA1_f^)x,(075) 254-5991,Kasir
PTG00006,Chandra Manullang,0aNKVh(c)c,+62-0690-034-3244,Petugas Loket
PTG00007,Devi Ardianto,GePn6Fe$@*,+62 (060) 529-7516,Supervisor
PTG00008,"Puti Hesti Fujiati, M.Farm",q&8CmYR2jD,+62-292-127-7997,Supervisor
PTG00009,"Wahyu Pratiwi, M.Ak",^5A8%PoL^E,(0980) 793 5978,Supervisor
PTG00010,Yusuf Halim,*&Z#eZkXE1,+62 (151) 864 4925,Petugas Loket
PTG00011,Lamar Wijayanti,d5WvAJum#n,+62-54-235-7332,Petugas Loket
PTG00012,Bahuwarna Sihombing,@r8Ci)Yrnj,+62 (379) 473-8347,Kasir
PTG00013,"R.A. Kartika Wastuti, M.Farm",j7Y+jWq$*F,+62 (0782) 613 7506,Admin
PTG00014,Harto Mardhiyah,^#Moak_cn3,+62 (004) 328 9861,Petugas Loket
PTG00015,"T. Dasa Sihombing, S.IP",kL(3WNu5_!,+62 (18) 518-8888,Supervisor
PTG00016,Harsaya Halimah,h!65aLVi)E,(0043) 030 5486,Kasir
PTG00017,"Drs. Nabila Ramadan, S.Gz",p$38lJHl_D,+62 (0161) 692 8451,Supervisor
PTG00018,Gamanto Wijayanti,%4KLfOtKZk,082 029 7021,Supervisor
PTG00019,Prayogo Yuliarti,^5MFK^_sB8,086 814 4739,Petugas Loket
PTG00020,Talia Lestari,Ls1&EcBD$S,+62-0132-370-5895,Admin
PTG00021,Wani Puspasari,AzCQic^x#9,+62 (26) 801-8242,Supervisor
PTG00022,Gaman Prasetyo,^cS)AJP0v8,+62-094-396-9078,Petugas Loket
PTG00023,Syahrini Sihombing,cA3%KZzW*f,0815371473,Kasir
PTG00024,Bakti Hardiansyah,%6+CTBinQO,(087) 339 5004,Supervisor
PTG00025,Rina Yolanda,!7)7JHr$_E,(0849) 912 1655,Kasir
PTG00026,Tgk. Perkasa Megantara,P$9CQLmQC$,+62 (888) 794 7055,Petugas Loket
PTG00027,"Balapati Agustina, M.Farm",%a0T4$pQfj,+62 (030) 756-2636,Petugas Loket
PTG00028,KH. Luwar Halimah,QTz0WwMeS+,+62-0484-344-3757,Petugas Loket
PTG00029,Putri Saefullah,SsH1S_$v%u,+62 (0842) 199 3308,Petugas Loket
PTG00030,Makuta Pradipta,!*j1NkIvrN,+62 (093) 802 6206,Petugas Loket
PTG00031,"drg. Cengkir Siregar, S.Gz",*!4zSSvtM2,+62 (0205) 493 2966,Admin
PTG00032,Tgk. Bakianto Wacana,_1!FLeCVU7,(0426) 841 4593,Kasir
